11/03/2014 14:46:46
PANalytical
Results quantitative - Omnian 2013,

Selected archive:,Omnian 2013
Number of results selected:,4

Seq.,Sample name (1-20),Sum,Result type,Al2O3,SiO2,P2O5,SO3,CaO,TiO2,V2O5,Cr2O3,MnO,Fe2O3,CuO,H2O,Au,Cl,MgO,PtO2,ZrO2
,,of conc.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,(%),,(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%)
,,,,,,,,,,,,,,,,,,,,
1,BAR14-008-R1,"100,000",Concentration,"0,198","0,496","0,123","0,048","0,021","0,944","0,089","0,195","0,051","96,803","0,031","1,000",,,,,
