Sample Id,Rep #,Product,Sg,Extract,Ethanol,ReducingSugar,VolatileAcid,TotalAcid,PH,MalicAcid,LacticAcid,Date,Time,Remark,
AR-01176-01,1,Droë Witwyn BBK,0.9892,9.81,10.85,0.25,0.35,0.52,4.06,-0.83,0.27,2010/11/02,10:33 AM,,
V10-031209,2,Droë Witwyn BBK,0.9892,9.77,10.85,0.49,0.36,0.52,4.06,-0.77,0.30,2010/11/02,10:33 AM,,
V10-031209,Mean,Droë Witwyn BBK,0.9892,9.79,10.85,0.37,0.35,0.52,4.06,-0.80,0.28,2010/11/02,10:33 AM,,
V10-031209,Sd,Droë Witwyn BBK,0.00001,0.025,0.002,0.173,0.006,0.006,0.002,0.041,0.020,2010/11/02,10:33 AM,,
